Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Linden Dance Company CIC,Unconsciously You R&D,"£29,961",26-Jan-22,January,Q4,Midlands,Birmingham,Dance,"Below £30,000"
Daniel Elms,Resubmission: The Age of Spiritual Machines Tour,"£29,995",26-Jan-22,January,Q4,South East,Brighton and Hove,Dance,"Below £30,000"
Stand and Be Counted Theatre Company,Welcome Project,"£29,998",26-Jan-22,January,Q4,North,Bradford,Theatre,"Below £30,000"
Majid Mehdizadeh-Valoujerdy,YMAM tour and workshops,"£12,522",26-Jan-22,January,Q4,North,Liverpool,Theatre,"Below £30,000"
The Pied Piper Theatre Company,BEAR,"£24,393",26-Jan-22,January,Q4,South East,Waverley,Theatre,"Below £30,000"
Habib Hajallie,Art Exhibition in Dartford,"£14,997",26-Jan-22,January,Q4,South East,Dartford,Visual arts,"Below £30,000"
Alexandria Cumiskey,Ghetec 2,"£2,357",26-Jan-22,January,Q4,North,Stockton-on-Tees,Music,"Below £30,000"
Bladder and String,Echoes Of Invention Second Phase,"£30,600",26-Jan-22,January,Q4,Midlands,Coventry,Music,"Below £30,000"
Theatre Royal Bury St Edmunds,Doorstep Theatre Festival 2022,"£14,900",26-Jan-22,January,Q4,South East,West Suffolk,Theatre,"Below £30,000"
Cliftonville Cultural Space CIC,Organisational development phase 2,"£30,000",26-Jan-22,January,Q4,South East,Thanet,Not discipline specific,"Below £30,000"
Concrete Youth,Sensory Storybook/Sea Sense,"£21,565",26-Jan-22,January,Q4,North,"Kingston upon Hull, City of",Theatre,"Below £30,000"
Andrew Wilson,One Hundred People:an immersive portrait of co-ordination and co-existence,"£20,781",26-Jan-22,January,Q4,North,Newcastle upon Tyne,Combined arts,"Below £30,000"
Newcastle Centre for the Literary Arts,Newcastle Poetry Festival 2022,"£30,000",26-Jan-22,January,Q4,North,Newcastle upon Tyne,Literature,"Below £30,000"
Tara Munroe,Casta Women's Day,"£10,205",26-Jan-22,January,Q4,Midlands,Leicester,Literature,"Below £30,000"
Jennifer Moore,Word Play Festival 2022,"£16,600",26-Jan-22,January,Q4,Midlands,Birmingham,Literature,"Below £30,000"
Scott Bradley,Quince,"£10,964",26-Jan-22,January,Q4,Midlands,West Northamptonshire,Theatre,"Below £30,000"
Crawley Museum,Belonging in Crawley,"£30,000",26-Jan-22,January,Q4,South East,Crawley,Museums,"Below £30,000"
ADHD Foundation,The Umbrella Project - Celebrating Neurodiversity,"£35,830",26-Jan-22,January,Q4,North,Liverpool,Combined arts,"Over £15,000"
Holmfirth Arts Festival,Earth Beneath Our Feet - Holmfirth Arts Festival 2022,"£39,926",26-Jan-22,January,Q4,North,Kirklees,Combined arts,"Over £15,000"
SJM Concerts,The Neighbourhood 2022,"£56,040",26-Jan-22,January,Q4,North,Manchester,Theatre,"Over £15,000"
Wild Rumpus,Timber Festival 2022,"£67,500",26-Jan-22,January,Q4,North,Cheshire East,Combined arts,"Over £15,000"
Tala Lee-Turton,No Time Like The Present,"£42,665",26-Jan-22,January,Q4,North,Sheffield,Dance,"Over £15,000"
HMM Arts Ltd (The Hive),Cultural Investigators,"£82,844",26-Jan-22,January,Q4,Midlands,Shropshire,Combined arts,"Over £15,000"
DOCA (Devizes Outdoor Celebratory Arts),Re*connect/re*inspire,"£87,979",27-Jan-22,January,Q4,South West,Wiltshire,Combined arts,"Over £15,000"
Window Wanderland CIC,Window Wanderland CIC 2022/23,"£46,937",27-Jan-22,January,Q4,South West,"Bristol, City of",Visual arts,"Over £15,000"
Cambridge Community Arts,Fenland Community Arts,"£97,700",28-Jan-22,January,Q4,South East,Cambridge,Combined arts,"Over £15,000"
Amici Dance Theatre Company,ONE WORLD 2022,"£35,000",28-Jan-22,January,Q4,London,Hammersmith and Fulham,Dance,"Over £15,000"
videoclub,Artists' Virtual International Exchange,"£49,952",28-Jan-22,January,Q4,South East,Brighton and Hove,Visual arts,"Over £15,000"
Primadonna Festival,Primadonna 2022,"£57,500",28-Jan-22,January,Q4,South East,Mid Suffolk,Literature,"Over £15,000"
JAM,JAM on the Marsh 2022,"£42,000",28-Jan-22,January,Q4,South East,Ashford,Combined arts,"Over £15,000"
Ipswich Jazz Festival,Ipswich Jazz & Global Rhythm Festivals 2022,"£42,520",28-Jan-22,January,Q4,South East,Ipswich,Music,"Over £15,000"
Orchestras for All,National Orchestra for All 2022,"£35,000",28-Jan-22,January,Q4,London,Camden,Music,"Over £15,000"
Oake Entertainment,Roots to Recovery,"£39,587",28-Jan-22,January,Q4,London,Hackney,Music,Grassroots Music
PAM Communications Limited,Studio 20,"£33,900",28-Jan-22,January,Q4,South East,Norwich,Music,Grassroots Music
The Hermit Club,Hermit Music Club,"£35,000",28-Jan-22,January,Q4,South East,Brentwood,Music,Grassroots Music
Routes,Routes: From Screen to Stage,"£49,724",28-Jan-22,January,Q4,London,Hackney,Theatre,"Over £15,000"
Obsidian Foundation,The Obsidian Retreat Full Model,"£47,637",28-Jan-22,January,Q4,London,Croydon,Literature,"Over £15,000"
Underground Lights,Lights Up!,"£29,968",1-Feb-22,February,Q4,Midlands,Coventry,Combined arts,"Below £30,000"
Evangeline Osbon,UPLIFT: Connecting Young Carers with Creativity,"£19,479",1-Feb-22,February,Q4,Midlands,Nottingham,Theatre,"Below £30,000"
Emma Matthews,Connect Northampton Castle,"£16,195",1-Feb-22,February,Q4,Midlands,West Northamptonshire,Combined arts,"Below £30,000"
Anansi Theatre,R and D The Anansi Story,"£15,000",1-Feb-22,February,Q4,Midlands,Derby,Theatre,"Below £30,000"
Platform Asia,Connecting South Asian Communities,"£16,198",1-Feb-22,February,Q4,Midlands,North East Derbyshire,Visual arts,"Below £30,000"
Holly Clark,Flappy Development,"£35,584",1-Feb-22,February,Q4,Midlands,Birmingham,Theatre,"Below £30,000"
The Sessions House CIC,Spilsby Lights 22,"£29,500",1-Feb-22,February,Q4,Midlands,East Lindsey,Combined arts,"Below £30,000"
Heidi Luker,Ambergate Wireworks - The Part They Played,"£26,441",1-Feb-22,February,Q4,Midlands,Derbyshire Dales,Visual arts,"Below £30,000"
SUFFOLK ARTLINK,Wild About Kirkley,"£30,000",2-Feb-22,February,Q4,South East,East Suffolk,Not discipline specific,"Below £30,000"
Dorcas Sebuyange,VICE VERSA FULL PRODUCTION,"£29,034",2-Feb-22,February,Q4,North,Liverpool,Theatre,"Below £30,000"
Patrick Ngabonziza,Domesteeque,"£26,865",2-Feb-22,February,Q4,North,Newcastle upon Tyne,Theatre,"Below £30,000"
Amina Khayyam Dance Co,Kathak Monologues,"£29,960",2-Feb-22,February,Q4,South East,Tandridge,Dance,"Below £30,000"
Fieldnotes Journal,FN community development,"£16,993",2-Feb-22,February,Q4,London,Tower Hamlets,Literature,"Below £30,000"
Rohan Gotobed,Georgia and the Iceberg,"£10,641",2-Feb-22,February,Q4,South West,"Bournemouth, Christchurch and Poole",Theatre,"Below £30,000"
Together for Children Sunderland,Creative Responses to 300 years of Seventeen Nineteen,"£29,277",2-Feb-22,February,Q4,North,Sunderland,Theatre,"Below £30,000"
Rethink Rebuild Society,Celebrating Syria Festival 2022,"£27,986",2-Feb-22,February,Q4,North,Manchester,Combined arts,"Below £30,000"
Clevedon Literary Festival,Clevedon Literary Festival,"£11,000",2-Feb-22,February,Q4,South West,North Somerset,Combined arts,"Below £30,000"
All Ways Making,"Recover, recharge, renew","£29,650",2-Feb-22,February,Q4,South East,West Suffolk,Combined arts,"Below £30,000"
James Frost,Animal Guising and the Kentish Hooden Horse,"£15,000",2-Feb-22,February,Q4,South East,Dover,Museums,"Below £30,000"
Kester Matine,The Joy of Character Creation: Solo Exhibition,"£6,118",2-Feb-22,February,Q4,South East,Cambridge,Visual arts,"Below £30,000"
Streets of Battle,Streets of Rother 2022,"£27,704",2-Feb-22,February,Q4,South East,Hastings,Theatre,"Below £30,000"
Lizzy Humber,Mothers Who Make Exeter,"£30,000",2-Feb-22,February,Q4,South West,Exeter,Combined arts,"Below £30,000"
Glass House Dance,Touring 2022,"£30,000",2-Feb-22,February,Q4,South East,Norwich,Dance,"Below £30,000"
Simon Porter,Your Words Your World,"£28,749",2-Feb-22,February,Q4,South East,Windsor and Maidenhead,Literature,"Below £30,000"
Tandem Theatre,Delia Derbyshire and the Harmonising Heroines,"£29,951",2-Feb-22,February,Q4,North,Salford,Combined arts,"Below £30,000"
The Island Collection,Capacity Development 2021 22,"£30,000",2-Feb-22,February,Q4,South West,Isle of Wight,Not discipline specific,"Below £30,000"
A.M.Qattan Foundation,Strategic projects,"£29,500",2-Feb-22,February,Q4,London,Kensington and Chelsea,Combined arts,"Below £30,000"
Euton Daley,Sign of the Times - Still Breathing,"£29,750",2-Feb-22,February,Q4,South East,Oxford,Combined arts,"Below £30,000"
Olivia Fern,"Women’s Voices, Women’s Song: EP, Tour and Collaboration","£16,463",2-Feb-22,February,Q4,North,South Lakeland,Music,"Below £30,000"
Fiona Salisbury,Wire-Walker: Orchestrated Failures Creation,"£17,654",2-Feb-22,February,Q4,South West,New Forest,Theatre,"Below £30,000"
Stoke Newington Literary Festival,A10 - a literary odyssey,"£28,000",2-Feb-22,February,Q4,London,Hackney,Literature,"Below £30,000"
Reading Repertory Theatre,Dare to Dream Project Grants,"£30,000",2-Feb-22,February,Q4,South East,Reading,Theatre,"Below £30,000"
Grand Union Music Theatre Ltd,40th Anniversary Programme,"£29,897",2-Feb-22,February,Q4,London,Tower Hamlets,Music,"Below £30,000"
Manasamitra,Terrarium,"£25,000",2-Feb-22,February,Q4,North,Kirklees,Music,"Below £30,000"
Katherine Mengardon,Hackney Play/Space 2022,"£30,000",2-Feb-22,February,Q4,London,Hackney,Combined arts,"Below £30,000"
Stanley Halls,Common: A Festival of Contemporary Participatory Dance Forms,"£29,505",2-Feb-22,February,Q4,London,Croydon,Dance,"Below £30,000"
Mimosa House,The Baroness,"£29,694",2-Feb-22,February,Q4,London,Westminster,Visual arts,"Below £30,000"
Brewery Poets,The Kendal Poetry Festival 2022,"£31,436",2-Feb-22,February,Q4,North,Barrow-in-Furness,Literature,"Below £30,000"
Lauren-Nicole Mayes,BABYNUN X0,"£8,818",2-Feb-22,February,Q4,North,Salford,Theatre,"Below £30,000"
Emma Clark,Ghosts of the Near Future Redevelopment,"£22,033",2-Feb-22,February,Q4,London,Waltham Forest,Theatre,"Below £30,000"
Seed Studios,Sprouting Seed,"£13,720",2-Feb-22,February,Q4,North,Trafford,Music,"Below £30,000"
Lowri Evans,Telenovela (Soap Opera),"£18,395",2-Feb-22,February,Q4,North,Manchester,Combined arts,"Below £30,000"
Helena Snider,"Pepi and Me: R&D, engagement activity & sharing with Camden Peoples Theatre","£11,654",2-Feb-22,February,Q4,London,Islington,Theatre,"Below £30,000"
Signdance Collective,Oriente Plus/Power Cut - Final Production Phase / Pilot Tour,"£33,000",2-Feb-22,February,Q4,South East,Buckinghamshire,Combined arts,"Below £30,000"
Trinity Laban Conservatoire of Music and Dance,Climate Emergency Project,"£29,497",2-Feb-22,February,Q4,London,Greenwich,Combined arts,"Below £30,000"
Golden Toad Theatre,Errol's Garden 2022 tour & activities,"£29,856",2-Feb-22,February,Q4,London,Southwark,Theatre,"Below £30,000"
London Bubble Theatre Company Ltd,Children's Holiday Programme,"£12,065",2-Feb-22,February,Q4,London,Southwark,Theatre,"Below £30,000"
Sarah Blanc,PUNK ALLEY Testing,"£37,372",2-Feb-22,February,Q4,London,Waltham Forest,Dance,"Below £30,000"
Julia Cheng,House of Absolute - Warrior Queens,"£29,935",2-Feb-22,February,Q4,South East,Luton,Dance,"Below £30,000"
Tenderbooks,Making it public : Display & Distribute,"£27,675",2-Feb-22,February,Q4,London,Westminster,Literature,"Below £30,000"
Daniel Anthony,Langkamer Band Tour Funding,"£8,000",2-Feb-22,February,Q4,South West,"Bristol, City of",Music,"Below £30,000"
Anna Clart,The Light Princess - CPT,"£2,269",2-Feb-22,February,Q4,London,Ealing,Theatre,"Below £30,000"
Emily Hamilton,LILITH R&D,"£24,760",2-Feb-22,February,Q4,South East,Windsor and Maidenhead,Theatre,"Below £30,000"
Pie Radio,Amapiano: Talent Hub,"£23,650",2-Feb-22,February,Q4,North,Stockport,Music,"Below £30,000"
Mollie Ray,Giant - Graphic Novel,"£19,730",2-Feb-22,February,Q4,North,Lancaster,Visual arts,"Below £30,000"
Medway Libraries,Circle of Six,"£14,500",2-Feb-22,February,Q4,South East,Medway,Libraries,"Below £30,000"
Viv Gordon Company,Organisational Development,"£20,437",2-Feb-22,February,Q4,South West,Mendip,Theatre,"Below £30,000"
Ransack Theatre Company,Ransack on Tour and Organisational Development,"£17,980",2-Feb-22,February,Q4,North,Manchester,Theatre,"Below £30,000"
Blackburn Youth Zone,Making Futures Local,"£14,827",2-Feb-22,February,Q4,North,Blackburn with Darwen,Combined arts,"Below £30,000"
-,-,"£25,330",2-Feb-22,February,Q4,South West,"Bristol, City of",Combined arts,"Below £30,000"
Ioannis Baltagiannis,912 - VR Performance & Community,"£19,304",2-Feb-22,February,Q4,London,Hackney,Combined arts,"Below £30,000"
Skimstone Arts,A Brighter Day Tour and Album by young people's social action band Reality Boots,"£20,460",2-Feb-22,February,Q4,North,Newcastle upon Tyne,Music,"Below £30,000"
Beacon Films CIC,Virtual Visionaries,"£30,000",2-Feb-22,February,Q4,North,Newcastle upon Tyne,Museums,"Below £30,000"
Maya Productions,Benny and the Greycats Participation 2022,"£30,000",2-Feb-22,February,Q4,London,Southwark,Combined arts,"Below £30,000"
Matsena Productions,Shades of Blue,"£29,991",2-Feb-22,February,Q4,London,Westminster,Dance,"Below £30,000"
Dens and Signals,Animals Production and Delivery,"£28,000",2-Feb-22,February,Q4,South East,Hastings,Theatre,"Below £30,000"
Together Arts Productions,Singing Our Lives 2022,"£29,735",2-Feb-22,February,Q4,London,Islington,Music,"Below £30,000"
Andre Gomes de Sousa,"With echoes filling up the orbit, but damaged","£28,494",2-Feb-22,February,Q4,South East,Brighton and Hove,Dance,"Below £30,000"
Flibbertigibbet Theatre,Babble - Early Years Experience '22,"£18,300",2-Feb-22,February,Q4,South West,"Bristol, City of",Theatre,"Below £30,000"
Daniel Mahler,Cotham Hill Street Party 2022,"£3,000",2-Feb-22,February,Q4,South West,"Bristol, City of",Combined arts,"Below £30,000"
Atomic Rhubarb,PERIOD DRAMA (Resubmission),"£14,580",2-Feb-22,February,Q4,South West,North Somerset,Theatre,"Below £30,000"
Live Wire Theatre,Vernon Vanriel & The Windrush Scandal,"£28,750",2-Feb-22,February,Q4,South West,Bath and North East Somerset,Theatre,"Below £30,000"
Grrrl Zine Fair,"Feminist Queer Library Archiving, Exhibition Tour and Workshops","£22,860",2-Feb-22,February,Q4,South East,Southend-on-Sea,Visual arts,"Below £30,000"
Daisy Hale,Spaces of Joy,"£37,900",2-Feb-22,February,Q4,London,Barnet,Combined arts,"Below £30,000"
WINSFORD TOWN COUNCIL,Winsford Creates,"£12,454",2-Feb-22,February,Q4,North,Cheshire West and Chester,Combined arts,"Below £30,000"
Charlotte Spencer Projects,Written in the Body Creation & Premiere,"£35,539",2-Feb-22,February,Q4,South East,Brighton and Hove,Dance,"Below £30,000"
Leigh Building Preservation Trust,Growing the Arts in Leigh,"£46,400",7-Feb-22,February,Q4,North,Wigan,Not discipline specific,"Over £15,000"
Deborah Baddoo,Coleridge Unbound,"£49,931",8-Feb-22,February,Q4,South West,East Devon,Dance,"Over £15,000"
We Are Epic,We Are Epic Reboot 2022-23 - Organisational Development and Programme Delivery,"£47,540",8-Feb-22,February,Q4,Midlands,Leicester,Combined arts,"Over £15,000"
Ryde Arts,Blueprint,"£40,201",8-Feb-22,February,Q4,South West,Isle of Wight,Visual arts,"Over £15,000"
Matt Smith,Waffle Live,"£40,000",8-Feb-22,February,Q4,South West,East Devon,Music,Grassroots Music
Lydbrook Band,Proms in the Park 2022,"£24,500",9-Feb-22,February,Q4,South West,Forest of Dean,Combined arts,"Below £30,000"
Queercircle,Queercircle Launch (Season 1),"£29,755",9-Feb-22,February,Q4,London,Haringey,Combined arts,"Below £30,000"
TUSK MUSIC PROJECTS,TUSK SPRING SERIES 2022,"£18,800",9-Feb-22,February,Q4,North,Newcastle upon Tyne,Music,"Below £30,000"
Poppamost,Home,"£2,888",9-Feb-22,February,Q4,North,Chorley,Theatre,"Below £30,000"
Lauren Grierson,Lauren Learns History- Children's History Series,"£10,150",9-Feb-22,February,Q4,London,Hounslow,Museums,"Below £30,000"
Athletes of the Heart,The Crack,"£20,020",9-Feb-22,February,Q4,London,Lambeth,Theatre,"Below £30,000"
Chris White,Stuck on my Eyes R&D + Moist Tour,"£17,926",9-Feb-22,February,Q4,South West,Exeter,Theatre,"Below £30,000"
Ana Silvera,"The Fabulist Tour 2022: Reckoning, Release & Reconnection","£5,736",9-Feb-22,February,Q4,London,Westminster,Music,"Below £30,000"
Peterborough Sings!,Women's Voices,"£30,000",9-Feb-22,February,Q4,South East,Peterborough,Music,"Below £30,000"
Flesh Festival,Flesh Queer Festival,"£29,384",9-Feb-22,February,Q4,London,Hackney,Music,"Below £30,000"
Tidal Tales Collective,Stars and Sails,"£30,000",9-Feb-22,February,Q4,South West,North Somerset,Theatre,"Below £30,000"
Jeanine Horgos,Youth Culture Exhibition,"£8,113",9-Feb-22,February,Q4,London,Greenwich,Combined arts,"Below £30,000"
Sonny Nwachukwu,"Saturn Returns - Final development 2022: Making the work accessible, education activity and live presentations","£21,831",9-Feb-22,February,Q4,London,Kingston upon Thames,Combined arts,"Below £30,000"
"Yael Flexer, Nic Sandiland/Dance & Digital Works Limited","Imagining Otherwise / Acting Our Age teaching, creation, dissemination","£30,500",9-Feb-22,February,Q4,South East,Chichester,Dance,"Below £30,000"
Exit Map,Moving On,"£15,000",9-Feb-22,February,Q4,London,Lewisham,Combined arts,"Below £30,000"
Northern Opera Group,Leeds Opera Festival 2022,"£30,000",9-Feb-22,February,Q4,North,Leeds,Music,"Below £30,000"
Caitlin Barnett,Small Tour of Comrades in the Dark & Even The Devil Has Demons R&D,"£19,050",9-Feb-22,February,Q4,London,Lambeth,Dance,"Below £30,000"
Rachel Dean,Thumbelina Phase 2,"£29,154",9-Feb-22,February,Q4,North,Leeds,Dance,"Below £30,000"
The Krazy Kat Theatre Company,Covid Reaction 'The Big Bad Wolf is Deaf',"£28,970",9-Feb-22,February,Q4,South East,Brighton and Hove,Theatre,"Below £30,000"
Alexander Merritt,Alex Merritt/ Steve Fishwick Quintet Tour 2022,"£10,542",9-Feb-22,February,Q4,London,Camden,Music,"Below £30,000"
Sebastian Mayer,Zarafa Giraffa,"£14,723",9-Feb-22,February,Q4,London,Hackney,Visual arts,"Below £30,000"
Little People Big Noise,Lights Camera Score Thames Expansion,"£12,590",9-Feb-22,February,Q4,London,Wandsworth,Music,"Below £30,000"
Jess Haygarth,R&D and Sharing of I Hate it Here- an original devised piece about job instability and zero hours contracts.,"£7,394",9-Feb-22,February,Q4,London,Haringey,Theatre,"Below £30,000"
Yolanda Mercy Aladeshelu,Dance Body,"£29,994",9-Feb-22,February,Q4,South East,Ipswich,Dance,"Below £30,000"
ANTS Theatre,Qrumpet tour 2022,"£18,168",9-Feb-22,February,Q4,London,Tower Hamlets,Theatre,"Below £30,000"
Lughole,Lughole - Ventilation Grant,"£8,950",9-Feb-22,February,Q4,North,Sheffield,Music,"Below £30,000"
Platform4,Final Production & Touring TRIFFIDS 2022,"£29,500",9-Feb-22,February,Q4,South West,Winchester,Theatre,"Below £30,000"
lynda laird,Stars to Light,"£25,940",9-Feb-22,February,Q4,South East,Hastings,Visual arts,"Below £30,000"
Jonny Khan,Our First Daytimer,"£10,995",9-Feb-22,February,Q4,London,Southwark,Theatre,"Below £30,000"
Claybody Theatre,The Card,"£59,950",9-Feb-22,February,Q4,Midlands,Newcastle-under-Lyme,Theatre,"Over £15,000"
Kafayat Adegoke,Yorkshire Producing Collective: Producer Exchange,"£28,679",9-Feb-22,February,Q4,North,Bradford,Theatre,"Over £15,000"
Poetry on Loan,Poetry on Loan April 2022- April 2024,"£46,040",9-Feb-22,February,Q4,Midlands,Newcastle-under-Lyme,Literature,"Over £15,000"
David Shearing,The Rising Sun 2022,"£52,695",9-Feb-22,February,Q4,London,Redbridge,Combined arts,"Over £15,000"
Dryden Goodwin,Breathe: 2022 for Lewisham Borough Of Culture,"£39,201",9-Feb-22,February,Q4,London,Lewisham,Visual arts,"Over £15,000"
Copeland Borough Council,Deep Time,"£38,000",9-Feb-22,February,Q4,North,Copeland,Combined arts,"Over £15,000"
Lancaster Jazz Festival,LJF: 2022 10th Anniversary Festival & the future,"£68,000",9-Feb-22,February,Q4,North,Wyre,Music,"Over £15,000"
Daniel Nicholas,Eugene National Tour + Access Development,"£36,565",9-Feb-22,February,Q4,North,Leeds,Theatre,"Over £15,000"
Katherine Owen,Come In,"£9,000",9-Feb-22,February,Q4,South East,Vale of White Horse,Theatre,"Below £30,000"
David Birchall,Ascension Series 2022,"£29,700",9-Feb-22,February,Q4,North,Trafford,Music,"Below £30,000"
Noah Burton,Onwards Festival,"£27,825",9-Feb-22,February,Q4,North,Kirklees,Music,"Below £30,000"
Tina Golden,The Art of Community Healing,"£19,500",9-Feb-22,February,Q4,South West,Dorset,Music,"Below £30,000"
Garth Hulbert,The Ward Round,"£33,000",9-Feb-22,February,Q4,North,Trafford,Theatre,"Below £30,000"
Madeleine Hills,Material,"£12,100",9-Feb-22,February,Q4,South West,East Hampshire,Combined arts,"Below £30,000"
Communities Together,Sangam Festival 2022,"£40,000",9-Feb-22,February,Q4,North,Kirklees,Combined arts,"Over £15,000"
Nathaniel Pitt,A Modest Show: British Art Show satellite programme,"£96,710",9-Feb-22,February,Q4,North,Salford,Visual arts,"Over £15,000"
Thomas Buckley,Immersive Social Histories II,"£12,800",9-Feb-22,February,Q4,South East,Brighton and Hove,Theatre,"Below £30,000"
RivelinCo Creative,Gathering Ground Pilot,"£29,876",9-Feb-22,February,Q4,North,Sheffield,Combined arts,"Below £30,000"
THE FERAL ART SCHOOL,Communities of Practice,"£30,000",9-Feb-22,February,Q4,North,"Kingston upon Hull, City of",Combined arts,"Below £30,000"
Emerald Ant CIC,Iggy for All - Development Phase,"£23,650",9-Feb-22,February,Q4,South West,Dorset,Theatre,"Below £30,000"
Kapow - Dance Circus Theatre CIC,Mayfly redevelopment and live choir participation project,"£30,900",9-Feb-22,February,Q4,North,Manchester,Dance,"Below £30,000"
James McDermott,Time and Tide Tour,"£30,000",9-Feb-22,February,Q4,South East,North Norfolk,Theatre,"Below £30,000"
Mafwa Theatre CIC,Lincoln Greening,"£31,907",9-Feb-22,February,Q4,North,Leeds,Combined arts,"Below £30,000"
Lee Jones,Today I Killed My Very First Bird,"£18,288",9-Feb-22,February,Q4,South West,Teignbridge,Theatre,"Below £30,000"
Michaela Cisarikova,Fish Out of Water - Creation & rural tour,"£29,923",9-Feb-22,February,Q4,South East,Folkestone and Hythe,Theatre,"Below £30,000"
Catherine Coe Ltd,All Stories mentorship and outreach programme,"£29,997",9-Feb-22,February,Q4,South East,East Suffolk,Literature,"Below £30,000"
Payal Ramchandani,The Forest dream,"£28,950",9-Feb-22,February,Q4,North,North Tyneside,Dance,"Below £30,000"
mandy parker sharp,Black British Voices - Grandpa's Tapes,"£3,805",9-Feb-22,February,Q4,South East,Rother,Museums,"Below £30,000"
Liminal Stage Productions,GREY MAN: An Accessible Digital Theatre Tour & Mental Health Project Relaunching Queer Disabled Company & Employing 25 Freelance Artists: Streaming On-Demand at Arcola & Regionally during Mental Health Awareness Month: 1-31 May 2022,"£30,000",9-Feb-22,February,Q4,London,Lambeth,Theatre,"Below £30,000"
Sharon Joanes,Colab project,"£14,199",9-Feb-22,February,Q4,South East,Reading,Music,"Below £30,000"
HurlyBurly,Garden R&D and touring,"£27,796",9-Feb-22,February,Q4,South East,Brighton and Hove,Theatre,"Below £30,000"
One Voice Blackburn,Revival,"£34,295",9-Feb-22,February,Q4,North,Blackburn with Darwen,Combined arts,"Over £15,000"
University College London,CVAN London pilot,"£29,922",9-Feb-22,February,Q4,London,Camden,Visual arts,"Over £15,000"
Ramshacklicious Ltd,Club Supreme - Live performance creation and presentation,"£24,995",10-Feb-22,February,Q4,South West,Bath and North East Somerset,Theatre,"Over £15,000"
Refugee Roots,Access Arts 2,"£29,800",10-Feb-22,February,Q4,Midlands,Nottingham,Combined arts,"Below £30,000"
Liga Orlovska,Exploring of Bees,"£13,067",10-Feb-22,February,Q4,Midlands,Leicester,Combined arts,"Below £30,000"
Hayley Davis,5 Years R&D,"£18,380",10-Feb-22,February,Q4,Midlands,Birmingham,Theatre,"Below £30,000"
Tracey Thorne,Moseley Blue,"£16,500",10-Feb-22,February,Q4,Midlands,Birmingham,Visual arts,"Below £30,000"
New Roots Care & Education,New Roots Performing Arts Project,"£13,068",10-Feb-22,February,Q4,Midlands,Bolsover,Theatre,"Below £30,000"
Kieran Spiers,Mondo Cane - Research & Development,"£11,794",10-Feb-22,February,Q4,Midlands,Lincoln,Theatre,"Below £30,000"
Jacqui Gallon,"Labours Lost : reimagining, through contemporary art,  the lives of workers and tenants on the Nanpantan Hall Country Estate","£16,150",10-Feb-22,February,Q4,Midlands,Charnwood,Combined arts,"Below £30,000"
Mark Anstey,Charm of Finches Tour,"£4,000",11-Feb-22,February,Q4,Midlands,Chesterfield,Music,"Below £30,000"
Punch Studios,Punch Studios Grass Roots Support,"£37,900",11-Feb-22,February,Q4,South East,Ipswich,Music,Grassroots Music
Rhoda Dakar,March 2022 Tour,"£12,050",11-Feb-22,February,Q4,London,Lambeth,Music,"Below £30,000"
Oxford City Council,Dancin' Oxford 2022-2024,"£96,000",11-Feb-22,February,Q4,South East,Oxford,Dance,"Over £15,000"
Pamela Roberts,Trailblazers  classical music and educational Project,"£85,000",11-Feb-22,February,Q4,South East,Buckinghamshire,Music,"Over £15,000"
Batch Gueye,Singing my Father's Song,"£30,578",15-Feb-22,February,Q4,South West,"Bristol, City of",Combined arts,"Below £30,000"
Adam Kammerling,Seder Tour,"£26,547",15-Feb-22,February,Q4,London,Hackney,Literature,"Below £30,000"
Golden Tree Productions,Reinventing Medieval Cornish Theatre for C21 (R&D phase),"£29,964",15-Feb-22,February,Q4,South West,Cornwall,Combined arts,"Below £30,000"
Matilda Wilde,Bull,"£9,233",15-Feb-22,February,Q4,London,Lewisham,Theatre,"Below £30,000"
Samantha Terry,Temple Cloud Circus,"£34,216",15-Feb-22,February,Q4,South West,Bath and North East Somerset,Theatre,"Below £30,000"
Spicejazz Soho,SpiceJazz Soho 2022/2023 Program,"£28,802",15-Feb-22,February,Q4,London,Westminster,Music,"Below £30,000"
Lisa Canny,FOLK+ Dissemination and Launch experience,"£21,160",15-Feb-22,February,Q4,London,Islington,Combined arts,"Below £30,000"
Magpie Dance,Business planning and consolidation,"£28,484",15-Feb-22,February,Q4,London,Bromley,Dance,"Below £30,000"
Oluwalanaire Oreofeoluwa Aderemi,egba women's revolt,"£29,322",15-Feb-22,February,Q4,London,Ealing,Theatre,"Below £30,000"
Dragons Cultural Club,Dragons Cultural Club,"£15,000",15-Feb-22,February,Q4,London,Hillingdon,Combined arts,"Below £30,000"
The Big House,Other Suns,"£22,298",15-Feb-22,February,Q4,London,Islington,Theatre,"Below £30,000"
Marianne Tuckman,"The Dirt: Development, Engagement & Preview","£15,970",15-Feb-22,February,Q4,London,Hackney,Theatre,"Below £30,000"
Papergang Theatre,Watermelon and Camilla Anvar R&D,"£9,000",15-Feb-22,February,Q4,London,Newham,Theatre,"Below £30,000"
Kazimir Bielecki,individualism_22,"£25,000",15-Feb-22,February,Q4,London,Enfield,Visual arts,"Below £30,000"
